detail,error_severity,event_message,hint,id,identifier,timestamp
null,LOG,"connection authenticated: identity=""supabase_admin"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,27b4b5df-2856-49fc-b770-348d8cb1e83c,dtnotuyagygexmkyqtgb,1762997203498000
null,LOG,"connection authorized: user=supabase_admin database=postgres application_name=undefined SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,e968b17a-1b91-4f28-958b-b62ccb705301,dtnotuyagygexmkyqtgb,1762997203498000
null,LOG,connection received: host=2a05:d018:1e14:200:fc58:2b72:18b2:e3b port=54606,null,f37e8fb9-e353-41c2-8598-b49ceaa2648b,dtnotuyagygexmkyqtgb,1762997203397000
null,LOG,connection authorized: user=supabase_admin database=postgres application_name=postgres_exporter,null,ea30155a-06ae-431a-8095-a9b79ba71ea8,dtnotuyagygexmkyqtgb,1762997184984000
null,LOG,"connection authenticated: user=""supabase_admin"" method=trust (/etc/postgresql/pg_hba.conf:85)",null,2ff2124f-c3ce-4bc8-9cf4-4eef80716b4e,dtnotuyagygexmkyqtgb,1762997184984000
null,LOG,connection received: host=::1 port=61245,null,9b9713e9-24ff-4883-8111-123ce639ab2b,dtnotuyagygexmkyqtgb,1762997184983000
null,LOG,"checkpoint complete: wrote 8 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.875 s, sync=0.004 s, total=0.911 s; sync files=2, longest=0.004 s, average=0.002 s; distance=13 kB, estimate=507 kB; lsn=0/13AF7628, redo lsn=0/13AF75D0",null,9b8f9bd8-b1ad-4ab5-8afd-f7ffbe1ffab2,dtnotuyagygexmkyqtgb,1762997147630000
null,LOG,checkpoint starting: time,null,6422b1f0-9a24-45d4-9045-a2cfc65cefa0,dtnotuyagygexmkyqtgb,1762997146723000
null,LOG,"connection authorized: user=supabase_admin database=postgres application_name=realtime_health_check SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,732a0002-7d3e-4860-9e47-86034b9df4fc,dtnotuyagygexmkyqtgb,1762997136636000
null,LOG,"connection authenticated: identity=""supabase_admin"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,b353a5d1-6eca-4d91-9e4b-08419cf4852f,dtnotuyagygexmkyqtgb,1762997136636000
null,LOG,"connection authorized: user=supabase_admin database=postgres application_name=undefined SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,7c942ee0-917b-4df0-9473-81ed1bfbc133,dtnotuyagygexmkyqtgb,1762997136610000
null,LOG,"connection authenticated: identity=""supabase_admin"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,7efec105-edb1-4353-8672-a9a85d035df8,dtnotuyagygexmkyqtgb,1762997136610000
null,LOG,"connection authorized: user=postgres database=postgres application_name=supabase/dashboard SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,dd421390-5ab3-4de1-9afa-5f52aa2986e4,dtnotuyagygexmkyqtgb,1762997136608000
null,LOG,"connection authenticated: identity=""postgres"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,1f089f7f-d43a-4f66-97e4-b6b31add999a,dtnotuyagygexmkyqtgb,1762997136608000
null,LOG,"connection authorized: user=supabase_admin database=postgres application_name=undefined SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,ace971d2-50d5-45c2-992f-b2588aa31335,dtnotuyagygexmkyqtgb,1762997136601000
null,LOG,"connection authenticated: identity=""supabase_admin"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,41586738-3ae9-43d2-992d-74e2c4ef08c3,dtnotuyagygexmkyqtgb,1762997136601000
